company_id;name;phonenumber;website;email;number;vatnumber;address_street;address_zipcode;address_city;address_country;address_type;distribution_partner_id
"1378";"B.V. Descol Kunststof Chemie";"0570-620744";"www.descol.nl";"management@descol.nl";"42025";;"Duurstedeweg 33007";"7418CK";"DEVENTER";"NL";"office";"86268"
"2968";"Hamat B.V.";"038-3855528";"www.hamat.com";"";"40290";"";"Spoelstraat 16";"8281JT";"GENEMUIDEN";"NL";"office";"86268"
"3395";"Industrie- en Handelsonderneming Bergenco BV";"038-4215369";"www.hillhout.nl";"";"40180";"";"Hoekerweg 1";"8042PH";"ZWOLLE";"NL";"office";"86268"
"4064";"Leferink Office Works BV";"053-5733000";"www.leferink.nl";"";"40212";;"Tolstraat 35";"7482DC";"HAAKSBERGEN";"NL";"office";"86268"
"4687";"Offringa Creil B.V.";"0527-274724";"www.offringacreilbv.nl";"administratie@offringacreilbv.nl";"42146";;"Brabantsestraat 3";"8312AD";"CREIL";"NL";"office";"86268"
"6691";"Tyco Building Services Products B.V.";"053-4284444";"www.tycobuilding.com";"";"40332";;"Kopersteden 1";"7547TJ";"Enschede";"NL";"office";"86268"
"7062";"TransMission Almere B.V.";"036-5460460";"";"info@transmissionalmere.nl";"42084";"";"Wormerweg 6";"1311XB";"ALMERE";"NL";"office";"86268"
"7624";"Zenitel Netherlands B.V.";"036-5462600";"www.zenitel.biz";"info@zenitel.biz";"41091";;"Microfoonstraat 5";"1322BN";"ALMERE";"NL";"office";"86268"
"8114";"Bruins Visscher Licht BV";"050-5977050";"www.bvlicht.nl";"j.laning@bvlicht.nl";"40267";"";"Bremenweg 5";"9723TC";"GRONINGEN";"NL";"office";"86268"
"9166";"Koopmans Meel B.V.";"058-2948494";"www.koopmansmeel.nl";"";"42179";"";"De Merodestraat 3";"8937AA";"LEEUWARDEN";"NL";"office";"86268"
"10384";"Tiktak/Segafredo Zanetti Nederland BV";"050-3127241";"www.tiktak-koffie.nl";"";"41017";;"Argonweg 20";"3812RB";"Amersfoort";"NL";"office";"86268"
"10934";"A. en D. Lieftink Metalen- en Kunststoframenf";"0172-469670";"www.lieftink.nl";"";"41002";;"Produktieweg 15 -17";"2404CC";"ALPHEN AAN DEN RIJN";"NL";"office";"86268"
"11021";"A.J. Jongeneel en Zonen Transport B.V.";"+31 71 532 25 30";"www.jongeneel.com";"";"42232";"";"Voorschoterweg 52 A";"2235SH";"VALKENBURG ZH";"NL";"office";"86268"
"11083";"Zwammerdam Groep BV";"0172-619232";"www.zwammerdamgroep.nl";"";"42058";"";"Dammekant 36";"2411CE";"BODEGRAVEN";"NL";"office";"86268"
"11123";"Aannemersbedrijf N. van Duin & Zn. B.V.";"071-3611400";"www.nvanduin.nl";"info@nvanduin.nl";"42197";;"Keyserswey 33";"2201CW";"NOORDWIJK ZH";"NL";"office";"86268"
"11179";"Aannemingsbedrijf Gebr. Schouls B.V.";"071-5792900";"www.schoulsleiden.nl";"j.vansanten@schoulsleiden.nl";"42121";"";"Kanaalweg 171";"2321JZ";"LEIDEN";"NL";"office";"86268"
"11280";"Abin Accountants en Belastingadv. Beheer B.V.";"071-3619318";"www.abin.nl";"info@abin.nl";"20118";;"Losplaatsweg 14";"2201CV";"NOORDWIJK ZH";"NL";"office";"86268"
"11494";"Hollander van der Mey B.V./MS&L";"070-3549000";"www.hvdm.nl";"info@hvdm.nl";"42136";;"Oosteinde 237";"2271EG";"VOORBURG";"NL";"office";"86268"
"11587";"Agro Techniek Holland B.V.";"0252-410150";"www.agro-techniek.com";"patrick@agro-techniek.com";"42072";"";"Herenweg 424";"2211VJ";"NOORDWIJKERHOUT";"NL";"office";"86268"
"11882";"Allround Transport Bemiddeling BV";"010-2956333";"www.allround-transport.nl";"info@allround-transport.nl";"10004";"";"Kaasmakerstraat 10";"3194DJ";"HOOGVLIET ROTTERDAM";"NL";"office";"86268"
"12207";"APW B.V.";"0252-343150";"www.apw.com";"";"41021";;"Delfweg 14 -B";"2211VM";"NOORDWIJKERHOUT";"NL";"office";"86268"
"12267";"Architektenburo Ruud van der Kroft B.V.";"0252-421389";"www.archkroft.nl";"info@archkroft.nl";"42123";;"Catharijnelaan 14";"2161CK";"LISSE";"NL";"office";"86268"
"12293";"Argos Packaging Systems BV";"0174-630011";"www.argos.nu";"";"40307";;"Stationsweg 19";"2675AM";"HONSELERSDIJK";"NL";"office";"86268"
"12667";"Autoschadebedrijf Fa. Brouwer";"071-3615234";"www.autoschadebrouwer.nl";"algemeen@autoschadebrouwer.nl";"42163";;"Keyserswey 50";"2201CX";"NOORDWIJK ZH";"NL";"office";"86268"
"12868";"B.V. Korthofah";"071 4060460";"www.kortho.eu";"h.lakerveld@kortho.nl";"43179";"";"Lageweg 39";"2222AG";"KATWIJK ZH";"NL";"office";"86268"
"12919";"JÉWÉRET Verkoopmaatschappij B.V.";"0183 660886";"www.jeweret.nl";"";"42971";"";"Schelluinsestraat 41";"4203NK";"GORINCHEM";"NL";"office";"86268"
"13141";"Barthen Services BV";"071-5222688";"www.barthen.nl";"karin.onos@barthen.nl";"40329";"";"Hallenweg 7";"2316JX";"LEIDEN";"NL";"office";"86268"
"13358";"Bergwerff Transport Service BV";"088-3535500";"www.bergwerff.nl";"info@bergwerff.nl";"42447";"";"Nikkelstraat 8 -10";"2984AM";"RIDDERKERK";"NL";"office";"86268"
"13595";"Blomsma Visuele Kommunicatie BV";"079-3301050";"www.blomsma.nl";"";"41037";;"Storkstraat 1 /A";"2722NN";"ZOETERMEER";"NL";"office";"86268"
"13647";"Mosmans B.V.";"071-4028033";"www.mosmans.nl";"m.mosmans@mosmans.nl";"42219";;"Nijverheidstraat 24";"2222AV";"KATWIJK ZH";"NL";"office";"86268"
"13725";"Bondas Veevoederbureau BV  NL";"0252-536136";"www.bonda.nl";"j.heutinck@bonda.nl";"40250";"";"Weeresteinstraat 43";"2182GR";"HILLEGOM";"NL";"office";"86268"
"14133";"Brouwer s Tours B.V.";"071-3619218";"www.brouwers-tours.nl";"arnold@brouwers-tours.nl";"30120";"";"Keyserswey 38 -40";"2201CW";"NOORDWIJK ZH";"NL";"office";"86268"
"14363";"B.V. Huize van Wely, sinds 1922";"071-3612228";"www.huizevanwely.nl";"info@huizevanwely.nl";"42118";"";"Hoofdstraat 88";"2202GA";"NOORDWIJK ZH";"NL";"office";"86268"
"14756";"Cashcontrol Incassodiensten BV";"010-4828000";"";"incasso@cashcontrol.nl";"25500";"";"Lange Nieuwstraat 227";"3111AJ";"Schiedam";"NL";"office";"86268"
"14765";"Catec BV";"0174-272330";"www.catec.nl";"info@catec.nl";"40317";;"Turfschipper 114";"2292JB";"WATERINGEN";"NL";"office";"86268"
"14798";"Cemsy Assemblies BV";"070-3906763";"www.cemsy.nl";"";"41029";;"Verijnsuartlaan 30";"2288EL";"RIJSWIJK ZH";"NL";"office";"86268"
"15074";"Compaxo Fijne Vleeswaren B.V.";"0182-547474";"www.compaxo.nl";"Geen export toegestaan";"42087";"";"Schielands Hoge Zeedijk 35";"2802RC";"GOUDA";"NL";"office";"86268"
"15364";"Cremer Speciaalmachines B.V.";"0252 419038";"www.cremer.com";"";"42353";"";"Heereweg 5";"2161AB";"LISSE";"NL";"office";"86268"
"15377";"Croon Elektrotechniek B.V.";"088-9233344";"www.croon.nl";"rdeunk@croon.nl";"42533";"";"Schiemond 20-22";"3024EE";"ROTTERDAM";"NL";"office";"86268"
"15400";"Cummins Holland BV";"078-6181200";"www.cummins.nl";"dbucashaccountsreceivable@cummins.com";"41094";"";"Olivijn 800";"3316KH";"DORDRECHT";"NL";"office";"86268"
"15539";"Damco Bakkerijgrondstoffen B.V.";"010 4350522";"www.damco.nl";"postbox@damco.nl";"40203";;"Industrieweg 14";"3133EE";"VLAARDINGEN";"NL";"office";"86268"
"15607";"De Blaay-van den Bogaard Raadgevende Ingenieu";"010-2757171";"www.blaay.nl";"blaayri@blaay.nl";"42342";;"Westblaak 35";"3012KD";"ROTTERDAM";"NL";"office";"86268"
"15954";"Duocare Drukwerk & Creatie";"071 4090979";"www.dezuid.com";"";"43024";"008756788";"Scheepmakerstraat 5 G";"2222AB";"KATWIJK ZH";"NL";"office";"86268"
"16127";"Deurwaarderskantoor Mr. M.P. Harten & Partner";"070-3117533";"";"";"40260";;"Sweelinckplein 63";"2517GR";"Den Haag";"NL";"office";"86268"
"16343";"Dorpak BV";"078-6177666";"www.dorpak.nl";"";"40254";;"Bunsenstraat 38";"3316GC";"DORDRECHT";"NL";"office";"86268"
"16437";"Druno en Dekker Drukkers";"0252-375225";"";"";"41097";"";"Ruishornlaan 19";"2162 VW";"Lisse";"NL";"office";"86268"
"16504";"Duijvelaar Pompen B.V.";"0172-488372";"www.dp.nl";"";"42075";"";"Kalkovenweg 13";"2401LJ";"ALPHEN AAN DEN RIJN";"NL";"office";"86268"
"16513";"Duinoord Accountants-Administratieconsulenten";"071-3643770";"";"";"20113";;"Losplaatsweg 14";"0000";"NOORDWIJK ZH";"NL";"office";"86268"
"17617";"Firma Verdoes";"071-4024607";"www.verdoesstucadoors.nl";"";"30137";"";"Lageweg 10";"2222AG";"KATWIJK ZH";"NL";"office";"86268"
"17788";"Wyko Aandrijftechniek BV";"010 2313430";"www.fpt.nl";"postmaster@fpt.nl";"40215";;"Driemanssteeweg 45";"3084CA";"ROTTERDAM";"NL";"office";"86268"
"18040";"Gebr. Bodegraven B.V.";"0172 520110";"www.gb.nl";"info@gb.nl";"42264";;"Atoomweg 2";"2421LZ";"NIEUWKOOP";"NL";"office";"86268"
"18197";"Eimskip Nederland B.V.";"010 751 7777";"";"edg@eimskip.nl";"42578";"";"Waalhaven Z.z. 21";"3089 JH";"Rotterdam";"NL";"office";"86268"
"18267";"Pon Power B.V.";"078 6420420";"www.pon-cat.com";"Pon bedrijf";"43194";"";"Ketelweg 20";"3356LE";"PAPENDRECHT";"NL";"office";"86268"
"18464";"Greenib B.V.";"071-3019292";"www.greenib.nl";"info@greenib.nl";"40185";;"Oosteinde 34";"2361HE";"WARMOND";"NL";"office";"86268"
"18714";"H.W.I. Techniek BV";"0172-424400";"";"";"40119";;"J Keplerweg 30";"2408AC";"ALPHEN AAN DEN RIJN";"NL";"office";"86268"
"18792";"Haluco B.V.";"010-5243600";"www.haluco.nl";"info@haluco.nl";"42555";"";"Klappolder 224";"2665MR";"BLEISWIJK";"NL";"office";"86268"
"18852";"Handelsonderneming Berkelrode B.V.";"010-5114850";"www.berkelrode.nl";"";"40159";;"Veilingweg 54";"2651BE";"BERKEL EN RODENRIJS";"NL";"office";"86268"
"19194";"Hillenaar Outdoor Advertising B.V.";"071-5157343";"www.hillenaar.nl";"marco@hillenaar.nl";"40328";;"Geversstraat 30";"2342AA";"OEGSTGEEST";"NL";"office";"86268"
"19261";"Hogefa BV";"010-4152655";"www.hogefa.nl";"sales@hogefa.nl";"40151";;"Thurledeweg 85";"3044ER";"ROTTERDAM";"NL";"office";"86268"
"19654";"HWS Verhuur B.V.";"071-5320123";"www.hws.nl";"";"42141";"";"De Hooge Krocht 106";"2201EZ";"NOORDWIJK ZH";"NL";"office";"86268"
"20160";"Intros B.V.";"0252-220100";"www.intros.nl";"";"41033";;"Hub van Doorneweg 10";"2171KZ";"SASSENHEIM";"NL";"office";"86268"
"20681";"K. van BourgondiÃn & Zonen B.V.";"0252-431955";"";"info@vanbourgondien.nl";"41026";;"Heereweg 352";"2161CC";"LISSE";"NL";"office";"86268"
